incendio_anio;incendio_provincia;incendio_total_numero;incendio_negligencia_numero;incendio_intencional_numero;incendio_natural_numero;incendio_desconocida_numero
2018;Río Negro;874;65;284;0;525
2018;Salta;442;0;0;441;1
2018;San Juan;315;104;211;0;0
2018;San Luis;39;0;0;27;12
2018;Santa Fe;1691;308;1131;2;250
2018;Tierra del Fuego;16;9;4;0;3
2018;Tucumán;33;0;29;4;0
2019;Catamarca;327;2;1;0;324
2019;Chubut;36;14;12;0;10
2019;Ciudad Autónoma de Buenos Aires;3;0;0;0;3
2019;Córdoba;273;12;223;0;38
2019;Corrientes;97;0;0;0;97
2019;Entre Ríos;135;1;0;0;134
2019;Formosa;90;0;90;0;0
2019;Jujuy;361;20;2;0;339
2019;La Pampa;96;14;32;33;17
2019;La Rioja;27;0;0;0;27
2019;Mendoza;110;13;13;26;58
2019;Misiones;39;0;0;0;39
2019;Río Negro;472;24;243;0;205
2019;Santa Fé;1251;151;804;2;294
2019;Tierra del Fuego;12;8;1;0;3
2019;Salta;257;0;0;0;257
2019;San Juan;1223;234;989;0;0
2019;San Luis;47;20;11;0;16
2019;Santa Cruz;10;5;0;0;5
2019;Santiago del Estero;122;0;0;0;122
2019;Buenos Aires;1441;0;0;0;1441
2020;Buenos Aires;63;;;;
2020;Catamarca;164;;;;
2020;Chaco;203;;;;
2020;Chubut;46;;;;
2020;Córdoba;96;;;;
2020;Corrientes;58;;;;
2020;Entre Ríos;30;;;;
2020;Formosa;9;;;;
2020;Jujuy;221;;;;
2020;La Pampa;48;;;;
2020;La Rioja;126;;;;
2020;Mendoza;89;;;;
2020;Misiones;71;;;;
2020;Neuquén;59;;;;
2020;Río Negro;80;;;;
2020;Salta;100;;;;
2020;San Juan;1;;;;
2020;San Luis;29;;;;
2020;Santa Cruz;7;;;;
2020;Santa Fe;81;;;;
2020;Santiago del Estero;36;;;;
2020;Tierra del Fuego;2;;;;
2020;Tucumán;118;;;;
2021;Buenos Aires;39;;;;
2021;Catamarca;242;;;;
2021;Chaco;122;;;;
2021;Chubut;40;;;;
2021;Córdoba;71;;;;
2021;Corrientes;14;;;;
2021;Entre Ríos;58;;;;
2021;Formosa;34;;;;
2021;Jujuy;342;;;;
2021;La Pampa;18;;;;
2021;La Rioja;179;;;;
2021;Mendoza;93;;;;
2021;Misiones;45;;;;
2021;Neuquén;42;;;;
2021;Río Negro;98;;;;
2021;Salta;232;;;;
2021;San Juan;0;;;;
2021;San Luis;180;;;;
2021;Santa Cruz;9;;;;
2021;Santa Fe;51;;;;
2021;Santiago del Estero;6;;;;
2021;Tierra del Fuego;10;;;;
2021;Tucumán;413;;;;
